country_name,country_text_id,COWcode,year,v2x_partipdem,pred,residual
Saudi Arabia,SAU,670,2018,0.025,0.21535650582465513,-0.19035650582465513
Morocco,MAR,600,2018,0.163,0.35230747316344263,-0.18930747316344262
Kazakhstan,KAZ,705,2018,0.073,0.2561662820771454,-0.18316628207714541
Bahrain,BHR,692,2018,0.041,0.2224289569365684,-0.18142895693656838
Azerbaijan,AZE,373,2018,0.057,0.23485882200618485,-0.17785882200618486
Chad,TCD,483,2018,0.127,0.30201237095383293,-0.17501237095383293
Egypt,EGY,651,2018,0.061,0.23599776787183194,-0.17499776787183194
Thailand,THA,800,2018,0.1,0.26839490288268103,-0.16839490288268102
Cuba,CUB,40,2018,0.05,0.21156565788858672,-0.16156565788858673
Qatar,QAT,694,2018,0.02,0.1793323044388958,-0.15933230443889582
Iran,IRN,630,2018,0.046,0.2036008716316614,-0.15760087163166142
Bangladesh,BGD,771,2018,0.108,0.24957200073274788,-0.1415720007327479
Cambodia,KHM,811,2018,0.076,0.2156493623384803,-0.1396493623384803
Eswatini,SWZ,572,2018,0.118,0.25560063680028056,-0.13760063680028056
Belarus,BLR,370,2018,0.099,0.23599776787183194,-0.13699776787183193
Cameroon,CMR,471,2018,0.111,0.24246606593690273,-0.13146606593690274
North Korea,PRK,731,2018,0.043,0.17204386298230556,-0.12904386298230558
Republic of the Congo,COG,484,2018,0.192,0.32089894337972047,-0.12889894337972047
Algeria,DZA,615,2018,0.113,0.23347538417582955,-0.12047538417582955
Singapore,SGP,830,2018,0.115,0.23466159129123593,-0.11966159129123592
Oman,OMN,698,2018,0.125,0.24193521498316192,-0.11693521498316192
Jordan,JOR,663,2018,0.118,0.23470082429523567,-0.11670082429523568
Laos,LAO,812,2018,0.107,0.21280689505865585,-0.10580689505865586
Maldives,MDV,781,2018,0.237,0.3387056551379853,-0.1017056551379853
Equatorial Guinea,GNQ,411,2018,0.053,0.15366621561872112,-0.10066621561872113
Afghanistan,AFG,700,2018,0.15,0.2506267486395456,-0.1006267486395456
Democratic Republic of the Congo,COD,490,2018,0.205,0.29698956779008157,-0.09198956779008158
Zimbabwe,ZWE,552,2018,0.248,0.33252324743046763,-0.08452324743046763
Russia,RUS,365,2018,0.152,0.2331384733144127,-0.0811384733144127
Comoros,COM,581,2018,0.25,0.3295413035082466,-0.07954130350824662
Seychelles,SYC,591,2018,0.246,0.31809167403997674,-0.07209167403997674
Fiji,FJI,950,2018,0.196,0.26562553359996127,-0.06962553359996126
Mozambique,MOZ,541,2018,0.256,0.3250653436382763,-0.06906534363827632
Djibouti,DJI,522,2018,0.134,0.2018125333477008,-0.06781253334770079
Papua New Guinea,PNG,910,2018,0.275,0.33949750362348163,-0.06449750362348161
Central African Republic,CAF,482,2018,0.176,0.23599776787183194,-0.05999776787183195
Libya,LBY,620,2018,0.164,0.22368045760900954,-0.05968045760900953
Zambia,ZMB,551,2018,0.261,0.3145567530305381,-0.053556753030538085
Kyrgyzstan,KGZ,703,2018,0.274,0.32732910648589,-0.053329106485889954
Vietnam,VNM,816,2018,0.17,0.22059098889125492,-0.05059098889125491
