country_name,country_text_id,COWcode,year,v2x_polyarchy,dem_culture,pred_const,gap_const,pred_culture,gap_culture
Laos,LAO,812,2017,0.124,5.0,0.3482328282409753,-0.2242328282409753,0.255302948353292,-0.13130294835329198
Mauritius,MUS,590,2017,0.732,8.75,0.6436802502732739,0.08831974972672607,0.8624082352486748,-0.13040823524867484
Mozambique,MOZ,541,2017,0.408,5.0,0.5790278919901722,-0.17102789199017226,0.5376207823868753,-0.1296207823868753
Algeria,DZA,615,2017,0.309,5.0,0.529028210152383,-0.220028210152383,0.4371278871333525,-0.1281278871333525
Uzbekistan,UZB,704,2017,0.191,5.0,0.5198643598949513,-0.3288643598949513,0.31541761121181033,-0.12441761121181033
Kyrgyzstan,KGZ,703,2017,0.449,4.38,0.5198643598949513,-0.07086435989495127,0.5707914999824559,-0.12179149998245592
Singapore,SGP,830,2017,0.425,6.25,0.6312328601034839,-0.2062328601034839,0.5437273210266295,-0.11872732102662947
Central African Republic,CAF,482,2017,0.396,1.88,0.536562573034298,-0.14056257303429798,0.5138636706077455,-0.1178636706077455
Bahrain,BHR,692,2017,0.133,4.38,0.31178527363854225,-0.17878527363854224,0.24814529551858172,-0.11514529551858171
Cameroon,CMR,471,2017,0.298,4.38,0.4972212287268836,-0.19922122872688364,0.4089568892121078,-0.11095688921210783
Honduras,HND,91,2017,0.414,4.38,0.5298648468969588,-0.1158648468969588,0.5239512006127276,-0.10995120061272762
Kazakhstan,KAZ,705,2017,0.235,4.38,0.4627319305328965,-0.22773193053289653,0.3442959086383539,-0.10929590863835392
Bangladesh,BGD,771,2017,0.265,4.38,0.5198643598949513,-0.25486435989495126,0.3742511826349353,-0.10925118263493527
Mauritania,MRT,435,2017,0.389,3.13,0.529028210152383,-0.14002821015238298,0.4961670648371512,-0.10716706483715116
Libya,LBY,620,2017,0.273,5.63,0.5198643598949513,-0.24686435989495126,0.37960021240147823,-0.10660021240147821
Afghanistan,AFG,700,2017,0.334,2.5,0.5198643598949513,-0.18586435989495126,0.43996000338043834,-0.10596000338043832
Cuba,CUB,40,2017,0.168,4.38,0.4238393009673007,-0.2558393009673007,0.2708632114164002,-0.10286321141640017
Haiti,HTI,41,2017,0.418,4.38,0.5615309152131269,-0.14353091521312694,0.5172031878921992,-0.09920318789219923
Israel,ISR,666,2017,0.714,7.5,0.5569577519981476,0.1570422480018524,0.8079513325457113,-0.09395133254571131
Oman,OMN,698,2017,0.176,4.38,0.4476671978889216,-0.27166719788892163,0.2642117652928585,-0.08821176529285851
Rwanda,RWA,517,2017,0.222,4.38,0.340360379511874,-0.11836037951187398,0.307984415144564,-0.08598441514456398
Sierra Leone,SLE,451,2017,0.52,6.25,0.536562573034298,-0.016562573034297978,0.5979323569405538,-0.07793235694055378
Egypt,EGY,651,2017,0.178,3.75,0.36518715582486805,-0.18718715582486806,0.2553448947816186,-0.0773448947816186
Botswana,BWA,571,2017,0.675,7.5,0.5198643598949513,0.15513564010504877,0.7521196622514406,-0.07711966225144051
Hungary,HUN,310,2017,0.555,6.88,0.5190522331738318,0.03594776682616829,0.6296421642479488,-0.07464216424794878
Comoros,COM,581,2017,0.38,3.75,0.529028210152383,-0.149028210152383,0.45203737576555647,-0.07203737576555647
Guinea,GIN,438,2017,0.369,4.38,0.47994807244198023,-0.11094807244198024,0.43128566797634027,-0.062285667976340275
Montenegro,MNE,341,2017,0.474,4.38,0.5948271593045672,-0.12082715930456722,0.531656030602639,-0.05765603060263902
Jordan,JOR,663,2017,0.263,4.38,0.5970294180610816,-0.33402941806108155,0.3189342436012732,-0.05593424360127319
Gabon,GAB,481,2017,0.398,5.0,0.5131696790048454,-0.11516967900484543,0.44791425257590545,-0.04991425257590543
Fiji,FJI,950,2017,0.4,5.63,0.4452739370355229,-0.045273937035522904,0.4460702328355973,-0.0460702328355973
Togo,TGO,461,2017,0.442,5.0,0.5293717055794569,-0.0873717055794569,0.48748212577566225,-0.04548212577566224
The Gambia,GMB,420,2017,0.498,5.63,0.5988665107208152,-0.1008665107208152,0.5433759979918742,-0.045375997991874195
United States of America,USA,2,2017,0.834,8.13,0.7040158778708955,0.12998412212910448,0.8743620973473984,-0.040362097347398485
Moldova,MDA,359,2017,0.503,4.38,0.5198643598949513,-0.016864359894951275,0.5406586553865617,-0.03765865538656166
Mali,MLI,432,2017,0.54,6.25,0.5290455917960128,0.010954408203987187,0.5773766305167163,-0.03737663051671625
Papua New Guinea,PNG,910,2017,0.447,5.63,0.5190465941164792,-0.07204659411647923,0.48309471974428814,-0.03609471974428813
Timor-Leste,TLS,860,2017,0.671,6.88,0.5198643598949513,0.15113564010504876,0.7047071364134156,-0.033707136413415606
Kenya,KEN,501,2017,0.512,5.63,0.5198643598949513,-0.007864359894951267,0.5359121904697707,-0.023912190469770667
Iraq,IRQ,645,2017,0.375,5.0,0.434508660401123,-0.059508660401123015,0.3905197009037993,-0.015519700903799283
Malawi,MWI,553,2017,0.546,6.25,0.5174454134628738,0.02855458653712628,0.5607647488511041,-0.014764748851104015
Malta,MLT,338,2017,0.761,8.75,0.5198643598949513,0.24113564010504873,0.771317202480557,-0.010317202480557008
